_index,fecha,Edad,Genero,Grupo étnico,Víctima del conflicto,Tipo de discapacidad,¿Cuenta con SISBEN?,Hora de Apertura del Comercio,Hora Cierre del Comercio,¿Cuántos trabajadores tiene?,¿Cuántos trabajadores extranjeros tiene?,¿Tiene registro ante la DIAN (RUT)?,Hora de recepción de mercancía,Inversión en mercancía,Tipo de producto/servicio,Afiliación a EPS,Medio de transporte,Nivel de escolaridad,seguridad social sin salud,Manejo de basuras,Estado de Registro Cámara,Tipo de contrato
1,08/22/2021 12:00:00 AM,44.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,16:00:00.000-05:00,09:00:00.000-05:00,0,0.0,False,21:00:00.000-05:00,300000.0,Productos agrícolas,No afiliado,Apie,Primaria incompleta,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
2,08/22/2021 12:00:00 AM,63.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,NO,23:00:00.000-05:00,23:37:00.000-05:00,1,1.0,False,19:40:00.000-05:00,50000.0,Bebidas,No afiliado,Mototaxi,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
3,08/22/2021 12:00:00 AM,39.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,17:00:00.000-05:00,07:00:00.000-05:00,2,0.0,False,17:00:00.000-05:00,600000.0,Productos agrícolas,Subsidiado,Mototaxi,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
4,08/22/2021 12:00:00 AM,48.0,Masculino,Ninguno de los anteriores,1,Sin discapacidad,SI,19:00:00.000-05:00,01:00:00.000-05:00,0,0.0,False,20:30:00.000-05:00,300000.0,Carnes,Subsidiado,Mototaxi,NS/NR,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
5,08/22/2021 12:00:00 AM,40.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,10:00:00.000-05:00,1,0.0,False,20:00:00.000-05:00,1000000.0,Productos agrícolas,Contributivo,Mototaxi,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
6,08/22/2021 12:00:00 AM,38.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,19:00:00.000-05:00,09:30:00.000-05:00,8,0.0,,17:00:00.000-05:00,20000000.0,Productos agrícolas,Contributivo,Automóvil propio,Bachillerato completo,Afiliado,La recoge el servicio de aseo,Tiene registro y está actualizado,Verbal
7,08/22/2021 12:00:00 AM,51.0,Masculino,Ninguno de los anteriores,1,Sin discapacidad,NO,16:00:00.000-05:00,05:00:00.000-05:00,0,0.0,False,,20000.0,Productos agrícolas,No afiliado,Bus/Buseta urbana,Primaria completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
23,08/22/2021 12:00:00 AM,55.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,16:00:00.000-05:00,09:00:00.000-05:00,0,0.0,False,21:00:00.000-05:00,50000.0,Ninguno de los anteriores,Subsidiado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
8,08/22/2021 12:00:00 AM,45.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,17:00:00.000-05:00,07:00:00.000-05:00,0,0.0,False,18:00:00.000-05:00,400000.0,Productos agrícolas,Subsidiado,Bus/Buseta intermunicipal,Primaria incompleta,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
9,08/22/2021 12:00:00 AM,67.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,04:00:00.000-05:00,14:00:00.000-05:00,1,0.0,False,04:00:00.000-05:00,4000000.0,Productos agrícolas,Contributivo,A pie,Bachillerato completo,No afiliado,La recoge el servicio de aseo,Tiene registro y está actualizado,Verbal
