_index,fecha,¿Cuántos años cumplidos tiene?,Cuál es su género?,Grupo étnico,Víctima del conflicto,RUV,Tipo de discapacidad,¿Cuenta con SISBEN?,¿Cuál es el parentesco suyo con el jefe o jefa del hogar en su vivienda?,¿Dónde queda ubicada su vivienda?,¿En qué barrio vive?,Escriba el nombre del barrio que NO se encuentra en la lista...180,¿En qué corregimiento o vereda reside?,¿En qué departamento queda ubicado el municipio?,Seleccione un municipio de: Bolívar...,Hora de Apertura del Comercio,Hora Cierre del Comercio,¿Cuántos trabajadores tiene?,¿Cuántos trabajadores extranjeros tiene?,"En su mayoría, ¿qué tipo de contrato tienen sus trabajadores?","En su mayoría, ¿los contratos de trabajo son a término indefinido o a término fijo?",¿Tiene registro ante la Cámara de Comercio?,¿Su registro ante la Cámara de Comercio está actualizado a 2021?,¿Cuál es la Actividad Económica Principal (Código CIIU) que aparece en su Cámara de Comercio?,¿Tiene registro ante la DIAN (RUT)?,"Otro, ¿cuál?...","Se dedica usted al comercio al por mayor, al comercio al por menor o ambos","En un día promedio, ¿cuánto invierte en mercancía?...",Tipo de producto/servicio,País,Municipio,Departamento,Eres_Cartagenero,motivo_de_cambio,Afiliación a EPS,Medio de transporte,Nivel de escolaridad,seguridad social sin salud,Manejo de basuras
1,08/22/2021 12:00:00 AM,44,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,20 de julio,20 de julio,NS/NR,NS/NR,NS/NR,16:00:00.000-05:00,09:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,300000.0,Productos agrícolas,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,Apie,Primaria incompleta,No afiliado,La recoge el servicio de aseo
2,08/22/2021 12:00:00 AM,63,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,20 de julio,20 de julio,NS/NR,NS/NR,NS/NR,23:00:00.000-05:00,23:37:00.000-05:00,1,1.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,50000.0,Bebidas,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,Mototaxi,Bachiller,No afiliado,La recoge el servicio de aseo
3,08/22/2021 12:00:00 AM,39,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,3 de junio,3 de junio,NS/NR,NS/NR,NS/NR,17:00:00.000-05:00,07:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,600000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Bachiller,No afiliado,La recoge el servicio de aseo
4,08/22/2021 12:00:00 AM,48,Masculino,Ninguno de los anteriores,1,SI,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,7 de agosto,7 de agosto,NS/NR,NS/NR,NS/NR,19:00:00.000-05:00,01:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,300000.0,Carnes,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,Subsidiado,Mototaxi,NS/NR,No afiliado,La recoge el servicio de aseo
5,08/22/2021 12:00:00 AM,40,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,7 de agosto,7 de agosto,NS/NR,NS/NR,NS/NR,19:00:00.000-05:00,10:00:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,1000000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Contributivo,Mototaxi,Bachiller,No afiliado,La recoge el servicio de aseo
6,08/22/2021 12:00:00 AM,38,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,7 de agosto,7 de agosto,NS/NR,NS/NR,NS/NR,19:00:00.000-05:00,09:30:00.000-05:00,8,0.0,Verbal,Sin información,NS/NR,SI,4721.0,NS/NR,NS/NR,Ambos,20000000.0,Productos agrícolas,NS/NR,NS/NR,Santander,"No, nací en otro municipio",NS/NR,Contributivo,Automóvil propio,Bachiller,Afiliado,La recoge el servicio de aseo
7,08/22/2021 12:00:00 AM,51,Masculino,Ninguno de los anteriores,1,SI,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,9 de abril,9 de abril,NS/NR,NS/NR,NS/NR,16:00:00.000-05:00,05:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,No aplica (solo marcar si el lugar está cerrado),20000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,No afiliado,Bus/Buseta urbana,Primaria completa,No afiliado,La recoge el servicio de aseo
23,08/22/2021 12:00:00 AM,55,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Bicentenario,Ciudad bicentenario,NS/NR,NS/NR,NS/NR,16:00:00.000-05:00,09:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,50000.0,Ninguno de los anteriores,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo
8,08/22/2021 12:00:00 AM,45,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona rural de Cartagena,Alto de jardines,Alto de jardines,Santa rosa,NS/NR,NS/NR,17:00:00.000-05:00,07:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,400000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",Economico,Subsidiado,Bus/Buseta intermunicipal,Primaria incompleta,No afiliado,La recoge el servicio de aseo
9,08/22/2021 12:00:00 AM,67,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Altos jardines,Altos jardines,NS/NR,NS/NR,NS/NR,04:00:00.000-05:00,14:00:00.000-05:00,1,0.0,Verbal,Sin información,NS/NR,SI,NS/NR,False,NS/NR,Comercio al por menor,4000000.0,Productos agrícolas,NS/NR,NS/NR,Cundinamarca,"No, nací en otro municipio",NS/NR,Contributivo,A pie,Bachiller,No afiliado,La recoge el servicio de aseo
